1954.933098 ,-2141.922759 ,-6542.997258
1944.032394 ,-2142.530705 ,-6587.257518
1911.644918 ,-2034.150381 ,-6544.161485
1788.916820 ,-1366.159533 ,-6523.030193
1685.781922 ,-717.910590 ,-6290.448081
1693.939387 ,-611.143347 ,-6235.995350
2157.202950 ,-1510.897962 ,-6467.555931
3026.250165 ,-4336.567476 ,-6200.362687
3442.583452 ,-6259.250478 ,-4564.005415
3482.684141 ,-6941.143923 ,-2337.827607
3234.910055 ,-6664.708912 ,167.190637
3095.303206 ,-5788.612127 ,1939.257385
2993.829789 ,-4568.302272 ,3578.193263
2714.926638 ,-3034.021631 ,4673.343192
2700.618761 ,-1191.422676 ,5560.424276
2532.543247 ,834.151966 ,5881.775197
2150.288791 ,2017.956644 ,5678.529154
1810.846182 ,3074.076675 ,5308.846470
1295.877089 ,4233.961107 ,4249.041525
987.554759 ,5108.307463 ,2196.413555
979.394264 ,5114.513521 ,298.383008
918.349110 ,4962.227368 ,-386.652194
884.584991 ,5248.950937 ,1306.439792
827.830579 ,4236.846081 ,4311.621262
1382.163491 ,1278.524422 ,5877.746464
2039.963869 ,-2142.218022 ,5249.215428
2760.154515 ,-5377.796442 ,2496.008156
3148.812600 ,-6608.397419 ,322.343083
3399.679881 ,-6918.645334 ,-949.292576
3614.453455 ,-6948.663089 ,-1526.938916
3922.464392 ,-6913.005079 ,-1784.239906
4049.185643 ,-6869.359044 ,-2267.220032
4329.977659 ,-6719.296779 ,-3048.389037
4589.712801 ,-6389.782944 ,-3896.462027
4661.422655 ,-5594.396589 ,-5147.571935
4172.561133 ,-4214.094920 ,-6229.789997
3800.852682 ,-1357.108157 ,-6363.097890
3595.590694 ,-2.836874 ,-5999.143737
3032.484656 ,1583.921929 ,-5154.043363
2513.524959 ,3931.950264 ,-2777.557835
2207.487245 ,4944.051364 ,-663.973003
2089.353599 ,5212.720981 ,1008.313336
1704.037434 ,5219.723063 ,1645.527265
1324.721683 ,5235.774605 ,1954.126383
1501.089218 ,4762.647226 ,-1224.406866
2354.366300 ,2337.470853 ,-4593.121082
2997.034807 ,-637.000077 ,-6349.675248
3166.111085 ,-3012.718423 ,-6587.804404
3161.438212 ,-5172.830556 ,-5873.597559
